Gene,Log2FoldChange,PValue,FDR
ZNF547,0.4165983333333329,9.252699295205988e-05,0.0167441076514653
GLP1R,-0.7195127083333333,9.283355717241703e-05,0.0167441076514653
LRRC2,1.2413372916666665,9.231158918042928e-05,0.0167441076514653
LRRC16A,0.7740547916666669,9.701156843967007e-05,0.0169099447293592
LOC146481,-1.0651961111111112,9.805359609089316e-05,0.0169099447293592
ARNTL,0.470068333333332,9.470866629377524e-05,0.0169099447293592
C11orf24,-0.2655077777777777,9.728397027966004e-05,0.0169099447293592
EYA4,1.7537860416666664,9.768510347328072e-05,0.0169099447293592
ZNF443,0.3511095833333355,0.0001000973488026,0.0171122945866137
ZNF788,0.3927999999999985,0.0001028179238991,0.0172769263577534
NTN5,0.8389481249999995,0.0001019523695388,0.0172769263577534
HPD,1.3502019444444446,0.0001061840947966,0.0176913500313796
NR0B1,-1.5782139583333334,0.0001112539234164,0.0183802700367021
ADAMTS12,-1.1486344444444438,0.0001162541490688,0.0190463047557767
PEX11G,0.4841584027777772,0.0001174323451668,0.0190803298014824
TBL1Y,-0.3712675694444444,0.0001233597831572,0.0195183187480861
SLC44A1,-0.5441068055555558,0.000124099178205,0.0195183187480861
LGR5,-1.2079957638888894,0.0001225009162546,0.0195183187480861
SFRS12,0.3015675694444439,0.0001214214575558,0.0195183187480861
LOC283663,0.6319975694444455,0.0001277395169727,0.0199314198705141
KLHDC8A,0.8322705555555547,0.0001306578324225,0.0202262439797355
ZDHHC16,-0.2549429861111107,0.0001321605399443,0.0202990329320783
DRG2,0.3280581249999983,0.0001345339858962,0.0205033966102384
CCDC80,0.5181022916666667,0.0001371199965712,0.0207367625583935
IRX4,-0.4621558333333334,0.0001411793782435,0.0211876837883056
TFRC,0.465309652777778,0.0001446006880707,0.0213748084772225
ZNF321,0.4685320833333337,0.0001445457393169,0.0213748084772225
GTF2IRD2B,0.4033434027777769,0.0001486011280594,0.0218022252063382
GTF2IRD2,0.3901071527777784,0.0001527970610618,0.0218739743536431
SLC2A6,-0.4900990972222212,0.0001568321180579,0.0218739743536431
C14orf50,1.0421646527777764,0.0001543411941818,0.0218739743536431
PWWP2B,-0.3486964583333316,0.0001568784528923,0.0218739743536431
ZFYVE27,-0.236460000000001,0.000153716643617,0.0218739743536431
LCE1C,-0.5170256944444445,0.0001550278763003,0.0218739743536431
ZNF302,0.3265986805555556,0.000151480032114,0.0218739743536431
FAM129B,-0.5188564583333335,0.0001593549721462,0.0219192423287747
ERMAP,0.3726265972222204,0.0001594329426762,0.0219192423287747
TMEM216,0.5881611805555558,0.0001659377990417,0.0223447748572725
FAM175B,-0.1886440972222214,0.0001652498048869,0.0223447748572725
CXorf23,0.2444603472222217,0.0001642064895807,0.0223447748572725
PLSCR4,0.6052848611111088,0.0001759936675243,0.0235376564865872
QTRT1,0.3741470138888889,0.0001826389041215,0.0240456556033486
LOC285401,-0.8139471527777777,0.0001823148692723,0.0240456556033486
C6orf192,0.4411149999999981,0.0001834612584182,0.0240456556033486
LRP12,-0.369990624999998,0.0001902670983004,0.0246509685425839
MZF1,0.5413845138888878,0.0001905873458022,0.0246509685425839
ZNF98,-0.8563608333333333,0.0001940245082178,0.0249315152389718
